CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT,PNR_ID
MU,1,1500006648,HQY,CRT,20230301,1000000141,RMB,B737NG,3214972-1,5000.0,5000.0,20230302,20230310.0,8.0,21-6X-18
MU,1,1500007509,HQY,CRT,20230614,1000000575,RMB,B737NG,21933-01AD,25140.16,25140.16,20230614,20230630.0,16.0,21-3x-02
MU,1,1500007521,HQY,AOG,20230615,1000000152,RMB,B737NG,607518-2,2000.0,2000.0,20230615,20230626.0,11.0,21-5X-37
MU,1,1500008178,HQY,NOR,20230823,1000000142,RMB,B737NG,3214972-1,200.0,200.0,20230824,20230905.0,12.0,21-6X-18
MU,1,1500007964,HQY,NOR,20230802,1000000152,RMB,B737NG,67600014-1,12000.0,12000.0,20230802,20230815.0,13.0,21-5X-11
MU,1,4100008798,HQY,AOG,20171211,1000000575,RMB,B737NG,67600014-1,66923.17,66923.17,20171212,20180316.0,94.0,21-5X-11
MU,1,1600152033,HQY,AOG,20200412,1000000012,RMB,B737NG,645242-1,11812.63,11812.63,20200413,20200506.0,23.0,21-2x-28
MU,1,1600181227,HQY,CRT,20200801,1000000141,RMB,B737NG,3290206-1,6473.39,6473.39,20200801,20200814.0,13.0,21-5X-36
MU,1,1600181721,HQY,AOG,20200803,1000000031,RMB,B737NG,4101054,10000.0,10000.0,20200811,20200814.0,3.0,21-2x-25
MU,1,1600195976,HQY,AOG,20200922,1000000142,RMB,B737NG,3202444-1,1234.97,1234.97,20200923,20200927.0,4.0,21-6X-17
MU,1,1500002191,HQY,NOR,20200927,1000000152,RMB,B737NG,645242-1,14000.0,14000.0,20200928,20201103.0,36.0,21-2x-28
MU,1,4100007243,HQY,AOG,20170120,1000000141,RMB,B737NG,541674-4,1.0,1.0,20170123,20170210.0,18.0,21-5X-11
MU,1,4100007165,HQY,AOG,20170103,1000000575,RMB,B737NG,21230-10BA,27438.37,27438.37,20170103,20170109.0,6.0,21-3x-03
MU,1,4100007673,HQY,AOG,20170504,1000000155,RMB,B737NG,65-52810-64,4972.15,4972.15,20170504,20170512.0,8.0,21-5X-02
MU,1,4100007954,HQY,AOG,20170625,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170626,20171110.0,137.0,21-5X-11
MU,1,4100007907,HQY,CRT,20170618,1000000575,RMB,B737NG,645242-1,30496.59,30496.59,20170618,20170901.0,75.0,21-2x-28
MU,1,4100008004,HQY,NOR,20170703,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170705,20171016.0,103.0,21-5X-11
MU,1,4100008069,HQY,AOG,20170714,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170715,20171120.0,128.0,21-5X-11
MU,1,4100008008,HQY,AOG,20170704,1000000575,RMB,B737NG,67600014-1,4586.21,4586.21,20170705,20170710.0,5.0,21-5X-11
MU,1,4100008007,HQY,AOG,20170704,1000000575,RMB,B737NG,67600014-1,31030.2,31030.2,20170705,20170816.0,42.0,21-5X-11
MU,1,4100007940,HQY,CRT,20170623,1000000141,RMB,B737NG,396498-2,1.0,1.0,20170626,20170921.0,87.0,21-5X-03
MU,1,4100007949,HQY,AOG,20170624,1000000575,RMB,B737NG,396498-2,55422.52,55422.52,20170628,20170816.0,49.0,21-5X-03
MU,1,4100008108,HQY,NOR,20170723,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170724,20171108.0,107.0,21-5X-11
MU,1,4100007974,HQY,AOG,20170627,1000000155,RMB,B737NG,67600014-1,36656.4,36656.4,20170628,20170815.0,48.0,21-5X-11
MU,1,4100008181,HQY,CRT,20170807,1000000155,RMB,B737NG,WL501RC1,3890.46,3890.46,20170808,20171103.0,87.0,21-3x-07-A
MU,1,4100008235,HQY,AOG,20170817,1000000575,RMB,B737NG,7123-19973-03AC,21166.59,21166.59,20170817,20170901.0,15.0,21-3X-01
MU,1,4100008139,HQY,CRT,20170729,1000000575,RMB,B737NG,396608-1,46881.01,46881.01,20170731,20170828.0,28.0,21-5X-03
MU,1,4100008148,HQY,AOG,20170730,1000000141,RMB,B737NG,396608-1,1.0,1.0,20170731,20170914.0,45.0,21-5X-03
MU,1,4100008195,HQY,AOG,20170810,1000000575,RMB,B737NG,67600014-1,19594.17,19594.17,20170811,20170905.0,25.0,21-5X-11
MU,1,4100008160,HQY,AOG,20170802,1000000152,RMB,B737NG,396608-1,13934.3,13934.3,20170802,20170811.0,9.0,21-5X-03
MU,1,4100008533,HQY,AOG,20171016,1000000575,RMB,B737NG,WL501RC1,6090.19,6090.19,20171017,20171101.0,15.0,21-3x-07-A
MU,1,4100008461,HQY,AOG,20171001,1000000141,RMB,B737NG,541674-4,1.0,1.0,20171011,20171027.0,16.0,21-5X-11
MU,1,4100008799,HQY,AOG,20171211,1000000575,RMB,B737NG,67600014-1,11804.82,11804.82,20171212,20171227.0,15.0,21-5X-11
MU,1,1600025444,HQY,AOG,20190329,1000000733,RMB,B737NG,21230-10BA,18258.07,18258.07,20190401,20190403.0,2.0,21-3x-03
MU,1,1600049779,HQY,AOG,20190531,1000000141,RMB,B737NG,3290206-1,1928.66,1928.66,20190603,20190603.0,1.0,21-5X-36
MU,1,1600043713,HQY,AOG,20190517,1000000012,RMB,B737NG,645242-1,24975.39,24975.39,20190518,20190716.0,59.0,21-2x-28
MU,1,1600071506,HQY,AOG,20190729,1000000012,RMB,B737NG,67600014-1,129936.43,129936.43,20190729,20191029.0,92.0,21-5X-11
MU,1,1600083051,HQY,CRT,20190830,1000000141,RMB,B737NG,67600014-1,28705.02,28705.02,20190902,20191014.0,42.0,21-5X-11
MU,1,4100009789,HQY,AOG,20180608,1000000155,RMB,B737NG,396608-1,11517.77,11517.77,20180610,20180612.0,2.0,21-5X-03
MU,1,4100009958,HQY,AOG,20180706,1000000155,RMB,B737NG,67600014-1,21931.2,21931.2,20180710,20180727.0,17.0,21-5X-11
MU,1,4100010002,HQY,CRT,20180713,1000000575,RMB,B737NG,65-52810-64,3342.78,3342.78,20180716,20180717.0,1.0,21-5X-02
MU,1,4100010008,HQY,CRT,20180714,1000000155,RMB,B737NG,645242-1,30241.88,30241.88,20180714,20180921.0,69.0,21-2x-28
MU,1,4100010126,HQY,NOR,20180804,1000000155,RMB,B737NG,3290206-1,24237.42,24237.42,20180806,20181112.0,98.0,21-5X-36
MU,1,4100010331,HQY,AOG,20180917,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20180918,20181108.0,51.0,21-5X-11
MU,1,4100010333,HQY,AOG,20180917,1000000575,RMB,B737NG,67600014-1,17879.38,17879.38,20181010,20181010.0,1.0,21-5X-11
MU,1,1600000909,HQY,AOG,20190108,1000000141,RMB,B737NG,20798-01,0.0,0.0,20190110,20190412.0,92.0,21-2x-27
MU,1,4100003394,HQY,CRT,20140803,1000000155,RMB,B737NG,65-52810-57,1424.87,1424.87,20140804,20140804.0,1.0,21-5X-02
MU,1,4100003484,HQY,CRT,20140824,1000000155,RMB,B737NG,398908-3,17485.58,17485.58,20140825,20140916.0,22.0,21-5X-35
MU,1,4100003376,HQY,AOG,20140727,1000000106,RMB,B737NG,398908-3,7413.53,7413.53,20140729,20140806.0,8.0,21-5X-35
MU,1,4100003543,HQY,CRT,20140912,1000000155,RMB,B737NG,398908-4,36696.81,36696.81,20140912,20141027.0,45.0,21-5X-35
MU,1,4100003464,HQY,AOG,20140818,1000000225,RMB,B737-300,398116-1-1,0.0,0.0,20140818,20141216.0,120.0,21-6X-22
MU,1,4100003780,HQY,AOG,20141122,1000000225,RMB,B737NG,0123FA2,1.0,1.0,20141122,20141229.0,37.0,21-2x-29
MU,1,4100003657,HQY,CRT,20141022,1000000141,RMB,B737-300,1019439-1-001,1.0,1.0,20141024,20141108.0,15.0,21-3X-01
MU,1,4100003795,HQY,AOG,20141127,1000000142,RMB,B737NG,398908-4,41497.43,41497.43,20141127,20150107.0,41.0,21-5X-35
MU,1,4100003624,HQY,AOG,20141011,1000000106,RMB,B737NG,67600014-1,1.0,1.0,20141011,20141103.0,23.0,21-5X-11
MU,1,4100003729,HQY,CRT,20141109,1000000155,RMB,B737NG,1019439-1-001,40585.87,40585.87,20141113,20141121.0,8.0,21-3X-01
MU,1,4100003803,HQY,AOG,20141202,1000000106,RMB,B737-300,1019439-1-001,1.0,1.0,20141202,20141216.0,14.0,21-3X-01
MU,1,4100003735,HQY,AOG,20141111,1000000106,RMB,B737NG,398908-3,1397.82,1397.82,20141111,20141113.0,2.0,21-5X-35
MU,1,4100003733,HQY,AOG,20141111,1000000106,RMB,B737NG,3290206-1,1254.43,1254.43,20141111,20141113.0,2.0,21-5X-36
MU,1,4100003760,HQY,AOG,20141115,1000000155,RMB,B737NG,398908-3,1.0,1.0,20141115,20141128.0,13.0,21-5X-35
MU,1,4100003761,HQY,AOG,20141116,1000000106,RMB,B737NG,398908-3,1.0,1.0,20141118,20141229.0,41.0,21-5X-35
MU,1,4100003606,HQY,AOG,20140930,1000000106,RMB,B737NG,607518-2,1.0,1.0,20140930,20141118.0,49.0,21-5X-37
MU,1,4100003842,HQY,CRT,20141218,1000000155,RMB,B737NG,51090160-1,46770.69,46770.69,20141218,20150114.0,27.0,21-6X-14
MU,1,4100003848,HQY,CRT,20141219,1000000142,RMB,B737NG,1019439-1-001,91610.26,91610.26,20141219,20150114.0,26.0,21-3X-01
MU,1,4100008958,HQY,NOR,20180105,1000000155,RMB,B737NG,67600014-1,45101.88,45101.88,20180108,20180301.0,52.0,21-5X-11
MU,1,4100009103,HQY,AOG,20180201,1000000155,RMB,B737NG,67600014-1,45888.61,45888.61,20180202,20180330.0,56.0,21-5X-11
MU,1,4100009055,HQY,CRT,20180120,1000000155,RMB,B737NG,67600014-1,36136.4,36136.4,20180121,20180306.0,44.0,21-5X-11
MU,1,4100009237,HQY,AOG,20180301,1000000155,RMB,B737NG,396498-2,55126.54,55126.54,20180305,20180423.0,49.0,21-5X-03
MU,1,4100009520,HQY,AOG,20180429,1000000575,RMB,B737NG,67600014-1,5664.41,5664.41,20180429,20180504.0,5.0,21-5X-11
MU,1,4100002265,HQY,CRT,20130603,1000000155,RMB,B737NG,398908-3,1.0,1.0,20130603,20130605.0,2.0,21-5X-35
MU,1,4100002389,HQY,CRT,20130717,1000000142,RMB,B737NG,0123FA2,8415.09,8415.09,20130717,20130726.0,9.0,21-2x-29
MU,1,4100002527,HQY,AOG,20130901,1000000155,RMB,B737NG,3214972-1,78366.06,78366.06,20130901,20131023.0,52.0,21-6X-18
MU,1,4100002488,HQY,CRT,20130816,1000000142,RMB,B737NG,398908-3,2465.09,2465.09,20130819,20140116.0,150.0,21-5X-35
MU,1,4100002757,HQY,AOG,20131121,1000000106,RMB,B737NG,398908-3,1.0,1.0,20131121,20140103.0,43.0,21-5X-35
MU,1,4100002758,HQY,AOG,20131121,1000000012,RMB,B737NG,21230-03AC,1.0,1.0,20131122,20140120.0,59.0,21-3x-03
MU,1,4100002734,HQY,CRT,20131112,1000000225,RMB,B737NG,396608-1,0.0,0.0,20131112,20131224.0,42.0,21-5X-03
MU,1,4100002798,HQY,CRT,20131206,1000000225,RMB,B737NG,541674-4,1.0,1.0,20131206,20140320.0,104.0,21-5X-11
MU,1,4100002746,HQY,NOR,20131117,1000000155,RMB,B737NG,398908-3,1.0,1.0,20131121,20131205.0,14.0,21-5X-35
MU,1,4100002788,HQY,AOG,20131204,1000000012,RMB,B737NG,7123-19973-03AC,1.0,1.0,20140106,20140409.0,93.0,21-3X-01
MU,1,4100002999,HQY,CRT,20140310,1000000155,RMB,B737NG,398908-4,5619.41,5619.41,20140310,20140312.0,2.0,21-5X-35
MU,1,4100002913,HQY,CRT,20140122,1000000106,RMB,B737NG,4063-19972-01AA,1.0,1.0,20140122,20140225.0,34.0,21-3x-03
MU,1,4100003014,HQY,CRT,20140319,1000000141,RMB,B737NG,398908-4,0.0,0.0,20140320,20140408.0,19.0,21-5X-35
MU,1,4100003135,HQY,CRT,20140514,1000000155,RMB,B737NG,51090160-1,127709.42,127709.42,20140515,20140630.0,46.0,21-6X-14
MU,1,4100003073,HQY,CRT,20140415,1000000012,RMB,B737NG,541674-4,1.0,1.0,20140418,20140423.0,5.0,21-5X-11
MU,1,4100003151,HQY,AOG,20140523,1000000142,RMB,B737NG,3290206-1,25751.89,25751.89,20140523,20140619.0,27.0,21-5X-36
MU,1,4100003116,HQY,CRT,20140506,1000000155,RMB,B737NG,4063-19972-01AA,168426.01,168426.01,20140506,20140506.0,1.0,21-3x-03
MU,1,4100003187,HQY,CRT,20140529,1000000155,RMB,B737NG,398908-3,48382.13,48382.13,20140529,20140801.0,64.0,21-5X-35
MU,1,4100003327,HQY,AOG,20140714,1000000106,RMB,B737NG,398908-3,1.0,1.0,20140714,20140722.0,8.0,21-5X-35
MU,1,4100005945,HQY,NOR,20160524,1000000152,RMB,B737NG,398908-5,19129.68,19129.68,20160524,20160627.0,34.0,21-5X-35
MU,1,4100006070,HQY,AOG,20160616,1000000142,RMB,B737NG,396498-2,8641.8,8641.8,20160620,20160623.0,3.0,21-5X-03
MU,1,4100006102,HQY,AOG,20160621,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160621,20160706.0,15.0,21-5X-35
MU,1,4100005931,HQY,AOG,20160522,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160526,20160708.0,43.0,21-5X-35
MU,1,4100006410,HQY,AOG,20160809,1000000155,RMB,B737NG,1150002-1,1108.61,1108.61,20160810,20160815.0,5.0,21-5X-13
MU,1,4100006223,HQY,AOG,20160714,1000000142,RMB,B737NG,2340400-1,13324.56,13324.56,20160715,20160720.0,5.0,21-5X-18
MU,1,4100006684,HQY,AOG,20161008,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20161010,20161111.0,32.0,21-5X-11
MU,1,4100006476,HQY,AOG,20160820,1000000142,RMB,B737NG,398908-5,3147.31,3147.31,20160822,20160822.0,1.0,21-5X-35
MU,1,4100006718,HQY,AOG,20161016,1000000575,RMB,B737NG,1019439-1-001,20481.06,20481.06,20161017,20161031.0,14.0,21-3X-01
MU,1,4100006751,HQY,NOR,20161021,1000000575,RMB,B737NG,65-52810-59,3300.48,3300.48,20161024,20161025.0,1.0,21-5X-02
MU,1,4100007147,HQY,AOG,20161229,1000000155,RMB,B737-300,51090160-1,13338.54,13338.54,20161230,20170109.0,10.0,21-6X-14
MU,1,4100007000,HQY,NOR,20161207,1000000142,RMB,B737NG,67600014-1,14487.39,14487.39,20161208,20161226.0,18.0,21-5X-11
MU,1,4100007148,HQY,AOG,20161230,1000000575,RMB,B737NG,123266-2-1,2531.22,2531.22,20170103,20170112.0,9.0,21-6X-03
MU,1,4100007016,HQY,CRT,20161210,1000000155,RMB,B737NG,67600014-1,28263.22,28263.22,20161212,20170118.0,37.0,21-5X-11
MU,1,4100007077,HQY,AOG,20161221,1000000141,RMB,B737-300,21230-03AC,1.0,1.0,20161223,20170210.0,49.0,21-3x-03
MU,1,4100001886,HQY,CRT,20130113,1000000155,RMB,B737NG,541674-4,17496.89,17496.89,20130113,20130204.0,22.0,21-5X-11
MU,1,4100002002,HQY,CRT,20130225,1000000155,RMB,B737NG,541674-4,65515.04,65515.04,20130225,20130504.0,68.0,21-5X-11
MU,1,4100002113,HQY,CRT,20130406,1000000142,RMB,B737NG,541674-4,6401.89,6401.89,20130408,20130410.0,2.0,21-5X-11
MU,1,4100001974,HQY,CRT,20130209,1000000142,RMB,B737NG,0123FA2,18513.2,18513.2,20130209,20130305.0,24.0,21-2x-29
MU,1,4100001975,HQY,CRT,20130209,1000000142,RMB,B737NG,0123FA2,29452.83,29452.83,20130209,20130315.0,34.0,21-2x-29
MU,1,4100004054,HQY,CRT,20150307,1000000106,RMB,B737NG,0123FA2,4060.93,4060.93,20150307,20150319.0,12.0,21-2x-29
MU,1,4100004125,HQY,CRT,20150328,1000000142,RMB,B737NG,0123FA2,15186.32,15186.32,20150328,20150413.0,16.0,21-2x-29
MU,1,4100004161,HQY,CRT,20150412,1000000106,RMB,B737NG,398908-3,1.0,1.0,20150413,,,21-5X-35
MU,1,4100004398,HQY,AOG,20150623,1000000106,RMB,B737NG,398908-3,30867.29,30867.29,20150625,20150826.0,62.0,21-5X-35
MU,1,4100004278,HQY,CRT,20150522,1000000155,RMB,B737NG,51090160-1,1.0,1.0,20150522,20150529.0,7.0,21-6X-14
MU,1,4100004322,HQY,AOG,20150605,1000000012,RMB,B737NG,67600014-1,39461.12,39461.12,20150608,20150703.0,25.0,21-5X-11
MU,1,4100004404,HQY,AOG,20150625,1000000012,RMB,B737NG,398908-3,1.0,1.0,20150626,,,21-5X-35
MU,1,4100004188,HQY,CRT,20150427,1000000155,RMB,B737NG,398908-4,1.0,1.0,20150427,20150612.0,46.0,21-5X-35
MU,1,4100004189,HQY,CRT,20150427,1000000155,RMB,B737NG,398908-4,11770.11,11770.11,20150427,20150512.0,15.0,21-5X-35
MU,1,4100004190,HQY,CRT,20150427,1000000155,RMB,B737NG,3290206-1,1347.17,1347.17,20150427,20150429.0,2.0,21-5X-36
MU,1,4100004415,HQY,AOG,20150629,1000000106,RMB,B737NG,67600014-1,38321.79,38321.79,20150630,20151126.0,149.0,21-5X-11
MU,1,4100004353,HQY,AOG,20150611,1000000106,RMB,B737NG,398908-4,757.85,757.85,20150612,20150612.0,1.0,21-5X-35
MU,1,4100004205,HQY,CRT,20150430,1000000141,RMB,B737NG,398908-3,1.0,1.0,20150506,20150817.0,103.0,21-5X-35
MU,1,4100004365,HQY,CRT,20150614,1000000155,RMB,B737NG,398908-3,1.0,1.0,20150615,,,21-5X-35
MU,1,4100004311,HQY,AOG,20150602,1000000012,RMB,B737NG,398908-4,36663.1,36663.1,20150603,20150729.0,56.0,21-5X-35
MU,1,4100004456,HQY,AOG,20150707,1000000106,RMB,B737NG,398908-3,17475.03,17475.03,20150709,20150812.0,34.0,21-5X-35
MU,1,4100004668,HQY,AOG,20150830,1000000106,RMB,B737NG,0123FA2,27500.25,27500.25,20150831,20151117.0,78.0,21-2x-29
MU,1,4100004679,HQY,AOG,20150831,1000000106,RMB,B737NG,67600014-1,54269.22,54269.22,20150901,20151119.0,79.0,21-5X-11
MU,1,4100004582,HQY,AOG,20150812,1000000012,RMB,B737NG,398908-4,1141.41,1141.41,20150812,20150816.0,4.0,21-5X-35
MU,1,4100004480,HQY,AOG,20150715,1000000142,RMB,B737NG,3290206-1,39012.92,39012.92,20150728,20151009.0,73.0,21-5X-36
MU,1,4100004433,HQY,AOG,20150703,1000000004,RMB,B737NG,398908-3,0.0,0.0,20150703,20150727.0,24.0,21-5X-35
MU,1,4100004385,HQY,AOG,20150619,1000000106,RMB,B737NG,67600014-1,29801.12,29801.12,20150622,20150728.0,36.0,21-5X-11
MU,1,4100004757,HQY,CRT,20150914,1000000155,RMB,B737NG,398908-4,29568.13,29568.13,20150914,20150914.0,1.0,21-5X-35
MU,1,4100004684,HQY,AOG,20150901,1000000142,RMB,B737NG,51090160-1,152054.88,152054.88,20150907,20151121.0,75.0,21-6X-14
MU,1,4100004770,HQY,AOG,20150917,1000000155,RMB,B737NG,67600014-1,21258.93,21258.93,20150923,20151012.0,19.0,21-5X-11
MU,1,4100004878,HQY,AOG,20151013,1000000155,RMB,B737NG,398908-5,34903.18,34903.18,20151014,20151216.0,63.0,21-5X-35
MU,1,4100005048,HQY,CRT,20151130,1000000155,RMB,B737NG,51090160-1,16600.0,16600.0,20151130,20151130.0,1.0,21-6X-14
MU,1,4100005049,HQY,CRT,20151130,1000000155,RMB,B737NG,398908-3,33618.95,33618.95,20151130,20151130.0,1.0,21-5X-35
MU,1,4100004998,HQY,AOG,20151117,1000000012,RMB,B737NG,7123-19973-03AB,36098.82,36098.82,20151125,20151209.0,14.0,21-3X-01
MU,1,4100004997,HQY,CRT,20151117,1000000106,RMB,B737NG,398908-5,72548.26,72548.26,20151117,20160506.0,171.0,21-5X-35
MU,1,4100004973,HQY,AOG,20151109,1000000106,RMB,B737NG,21230-03AC,26494.84,26494.84,20151110,20151116.0,6.0,21-3x-03
MU,1,4100005358,HQY,AOG,20160123,1000000421,RMB,B737NG,398908-3,55221.79,55221.79,20160125,20160510.0,106.0,21-5X-35
MU,1,4100005367,HQY,AOG,20160125,1000000152,RMB,B737NG,398908-5,22002.74,22002.74,20160125,20160305.0,40.0,21-5X-35
MU,1,4100005418,HQY,AOG,20160204,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160223,20160726.0,154.0,21-5X-35
MU,1,4100005336,HQY,AOG,20160120,1000000421,RMB,B737NG,398908-3,51642.69,51642.69,20160125,20160429.0,95.0,21-5X-35
MU,1,4100005680,HQY,AOG,20160402,1000000421,RMB,B737NG,398908-3,28634.25,28634.25,20160405,20160527.0,52.0,21-5X-35
MU,1,4100005684,HQY,AOG,20160403,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160412,20160612.0,61.0,21-5X-35
MU,1,4100005623,HQY,AOG,20160320,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160328,20160329.0,1.0,21-5X-35
MU,1,4100005593,HQY,AOG,20160313,1000000106,RMB,B737NG,7123-19973-03AB,13323.12,13323.12,20160313,20160324.0,11.0,21-3X-01
MU,1,4100005749,HQY,AOG,20160415,1000000141,RMB,B737NG,21230-03AC,1.0,1.0,20160416,20160620.0,65.0,21-3x-03
MU,1,4100005760,HQY,AOG,20160417,1000000421,RMB,B737NG,398908-5,2151.86,2151.86,20160420,20160420.0,1.0,21-5X-35
MU,1,4100005829,HQY,CRT,20160501,1000000106,RMB,B737NG,398908-3,23776.15,23776.15,20160501,20160616.0,46.0,21-5X-35
MU,1,4100005830,HQY,EXP,20160502,1000000106,RMB,B737NG,398908-3,1279.01,1279.01,20160502,20160504.0,2.0,21-5X-35
MU,1,4100005699,HQY,AOG,20160407,1000000106,RMB,B737NG,67600014-1,12807.88,12807.88,20160407,20160425.0,18.0,21-5X-11
MU,1,4100005703,HQY,AOG,20160407,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160411,20160808.0,119.0,21-5X-35
MU,1,4100005715,HQY,AOG,20160410,1000000106,RMB,B737NG,398908-3,19174.46,19174.46,20160411,20160517.0,36.0,21-5X-35
MU,1,4100005783,HQY,AOG,20160422,1000000106,RMB,B737NG,398908-3,31872.98,31872.98,20160427,20160621.0,55.0,21-5X-35
MU,1,4100005786,HQY,AOG,20160423,1000000106,RMB,B737NG,398908-3,20454.99,20454.99,20160427,20160530.0,33.0,21-5X-35
MU,1,4100005739,HQY,NOR,20160414,1000000141,RMB,B737NG,398908-5,256.41,256.41,20160416,20160708.0,83.0,21-5X-35
MU,1,4100005740,HQY,NOR,20160414,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160416,20160704.0,79.0,21-5X-35
MU,1,4100000998,HQY,EXP,20120113,1000000210,RMB,B737-300,321942-1-1,0.0,0.0,20120113,20120227.0,45.0,21-5X-16
MU,1,4100001192,HQY,AOG,20120407,1000000155,RMB,B737NG,7121-19971-01AB,1.0,1.0,20120408,20120417.0,9.0,21-3x-02
MU,1,4100001222,HQY,CRT,20120424,1000000225,RMB,B737-300,4063-19972-01AB,1.0,1.0,20120424,20120828.0,126.0,21-3x-03
MU,1,4100001241,HQY,CRT,20120428,1000000106,RMB,B737-300,607518-2,301.0,301.0,20120429,20121106.0,191.0,21-5X-37
MU,1,4100001251,HQY,CRT,20120503,1000000106,RMB,B737-300,541674-4,1.0,1.0,20120503,20120717.0,75.0,21-5X-11
MU,1,4100001298,HQY,AOG,20120527,1000000225,RMB,B737NG,398908-3,1.0,1.0,20120527,20120611.0,15.0,21-5X-35
MU,1,4100001627,HQY,CRT,20120914,1000000155,RMB,B737NG,162BL903,26897.88,26897.88,20120914,20130105.0,113.0,21-6X-07
MU,1,4100001845,HQY,AOG,20121227,1000000225,RMB,B737NG,398908-3,1.0,1.0,20121227,20130125.0,29.0,21-5X-35
MU,1,4100003886,HQY,CRT,20150105,1000000225,RMB,B737NG,398908-3,0.0,0.0,20150105,20150122.0,17.0,21-5X-35
MU,1,4100003887,HQY,AOG,20150105,1000000106,RMB,B737NG,67600014-1,1.0,1.0,20150105,20150109.0,4.0,21-5X-11
MU,1,4100003934,HQY,CRT,20150123,1000000106,RMB,B737NG,398908-4,1141.41,1141.41,20150123,20150127.0,4.0,21-5X-35
MU,1,1500003227,HQY,NOR,20210630,1000000575,RMB,B737NG,67600014-1,11537.58,11537.58,20210701,20210712.0,11.0,21-5X-11
MU,1,1500003248,HQY,CRT,20210706,1000000141,RMB,B737NG,3290206-1,2000.0,2000.0,20210706,20210712.0,6.0,21-5X-36
MU,1,1500003272,HQY,CRT,20210709,1000000012,RMB,B737NG,396608-1,48612.39,48612.39,20210709,20210729.0,20.0,21-5X-03
MU,1,1500003284,HQY,NOR,20210716,1349,USD,B737NG,645242-1,100.0,100.0,20211011,20220210.0,122.0,21-2x-28
MU,1,1500003510,HQY,NOR,20210914,1349,USD,B737NG,645242-1,100.0,100.0,20210926,20220210.0,137.0,21-2x-28
MU,1,1500003507,HQY,NOR,20210913,1000000012,RMB,B737NG,645242-1,10000.0,10000.0,20210913,20211022.0,39.0,21-2x-28
MU,1,4100000227,HQY,AOG,20110524,1000000155,RMB,B737NG,541674-4,3.0,3.0,20110525,20110913.0,111.0,21-5X-11
MU,1,4100000229,HQY,AOG,20110525,1000000106,RMB,B737-300,1150002-1,1.0,1.0,20110525,,,21-5X-13
MU,1,4100000740,HQY,CRT,20111011,100050,RMB,B737NG,541674-4,1.0,1.0,20111012,20140512.0,943.0,21-5X-11
MU,1,4100000741,HQY,NOR,20111011,100050,RMB,B737NG,541674-4,1.0,1.0,20111012,20140512.0,943.0,21-5X-11
MU,1,4100000580,HQY,CRT,20110811,100050,RMB,B737NG,607518-2,1.0,1.0,20110811,20140514.0,1007.0,21-5X-37
MU,1,1500002737,HQY,NOR,20210318,1000000031,RMB,B737NG,645242-1,5000.0,5000.0,20210319,20210625.0,98.0,21-2x-28
MU,1,1500002754,HQY,NOR,20210322,1000000141,RMB,B737NG,51090160-1,3000.0,3000.0,20210322,20210407.0,16.0,21-6X-14
